# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   50  ,  Utrecht University  , Netherlands , 2010    
   50  ,  Karolinska Institute  , Sweden , 2009    
   50  ,  King&rsquo;s College London  , UK , 2016    
   50  ,  University of Manchester  , UK , 2006    
   51  ,  University of München  , Germany , 2016    
   51  ,  University of München  , Germany , 2006    
   51  ,  University of München  , Germany , 2005    
   51  ,  University of München  , Germany , 2004    
   51  ,  Technical University of München  , Germany , 2015    
   51  ,  Utrecht University  , Netherlands , 2018    
   51  ,  Karolinska Institute  , Sweden , 2008    
   51  ,  University of Edinburgh  , UK , 2013    
   51  ,  University of Edinburgh  , UK , 2012    
   51  ,  University of Zurich  , Switzerland , 2010    
   52  ,  University of München  , Germany , 2015    
   52  ,  University of München  , Germany , 2010    
   52  ,  Technical University of München  , Germany , 2005    
   52  ,  University Paris Sud (Paris XI)  , France , 2007    
   52  ,  Utrecht University  , Netherlands , 2013    
   52  ,  Utrecht University  , Netherlands , 2009    
   52  ,  University of Edinburgh  , UK , 2006    
   53  ,  University of Geneva  , Switzerland , 2016    
   53  ,  University of München  , Germany , 2018    
   53  ,  University of München  , Germany , 2007    
   53  ,  Technical University of München  , Germany , 2014    
   53  ,  Technical University of München  , Germany , 2012    
   53  ,  Hebrew University of Jerusalem  , Israel , 2012    
   53  ,  Utrecht University  , Netherlands , 2012    
   53  ,  Karolinska Institute  , Sweden , 2007    
   53  ,  University of Edinburgh  , UK , 2011    
   53  ,  University of Edinburgh  , UK , 2009    
   53  ,  University of Edinburgh  , UK , 2007    
   53  ,  University of Manchester  , UK , 2005    
   53  ,  University of Zurich  , Switzerland , 2008    
   54  ,  University of München  , Germany , 2011    
   54  ,  University of Heidelberg  , Germany , 2013    
   54  ,  Technical University of München  , Germany , 2006    
   54  ,  University of Edinburgh  , UK , 2010    
   54  ,  University of Zurich  , Switzerland , 2018    
   54  ,  University of Zurich  , Switzerland , 2016    
   54  ,  University of Zurich  , Switzerland , 2015    
   54  ,  University of Zurich  , Switzerland , 2009    
   55  ,  University of München  , Germany , 2009    
   55  ,  University of München  , Germany , 2008    
   55  ,  King&rsquo;s College London  , UK , 2015    
   55  ,  University of Bristol  , UK , 2003    
   55  ,  University of Edinburgh  , UK , 2008    
   56  ,  Technical University of München  , Germany , 2010    
   56  ,  Technical University of München  , Germany , 2007    
   56  ,  University of Copenhagen  , Denmark , 2006    
   56  ,  University of Helsinki  , Finland , 2017    
   56  ,  University of Helsinki  , Finland , 2016    
   56  ,  Utrecht University  , Netherlands , 2015    
   56  ,  King&rsquo;s College London  , UK , 2018    
   56  ,  University of Zurich  , Switzerland , 2014    
   56  ,  University of Zurich  , Switzerland , 2011    
   57  ,  University of München  , Germany , 2017    
   57  ,  Technical University of München  , Germany , 2009    
   57  ,  Technical University of München  , Germany , 2008    
   57  ,  University of Copenhagen  , Denmark , 2005    
   57  ,  University of Helsinki  , Finland , 2018    
   57  ,  Hebrew University of Jerusalem  , Israel , 2011    
   57  ,  Utrecht University  , Netherlands , 2014    
   57  ,  University of Bristol  , UK , 2016    
   57  ,  University of Zurich  , Switzerland , 2005    
   57  ,  University of Zurich  , Switzerland , 2004    
   58  ,  University of Geneva  , Switzerland , 2015    
   58  ,  University of Heidelberg  , Germany , 2003    
   58  ,  University of Oslo  , Norway , 2015    
   58  ,  University of Zurich  , Switzerland , 2017    
   58  ,  University of Zurich  , Switzerland , 2007    
   58  ,  University of Zurich  , Switzerland , 2006    
   59  ,  University of Geneva  , Switzerland , 2018    
   59  ,  University of Copenhagen  , Denmark , 2004    
   59  ,  Hebrew University of Jerusalem  , Israel , 2013    
   59  ,  University of Groningen  , Netherlands , 2017    
   59  ,  Uppsala University  , Sweden , 2003    
   59  ,  King&rsquo;s College London  , UK , 2014    
   59  ,  University of Zurich  , Switzerland , 2012    
   60  ,  University of Geneva  , Switzerland , 2017    
   60  ,  University of München  , Germany , 2012    
   60  ,  Technical University of München  , Germany , 2003    
   60  ,  Hebrew University of Jerusalem  , Israel , 2006    
   60  ,  Uppsala University  , Sweden , 2016    
   60  ,  Uppsala University  , Sweden , 2014    
   60  ,  Uppsala University  , Sweden , 2005    
   60  ,  University of Bristol  , UK , 2004    
   60  ,  University of Zurich  , Switzerland , 2013    
   61  ,  University of Gent  , Belgium , 2018    
   61  ,  University of München  , Germany , 2013    
   61  ,  University Paris Sud (Paris XI)  , France , 2005    
   61  ,  Uppsala University  , Sweden , 2015    
   61  ,  University of Bristol  , UK , 2017    
   61  ,  University of Bristol  , UK , 2009    
   61  ,  University of Bristol  , UK , 2008    
   62  ,  University of Gent  , Belgium , 2016    
   62  ,  University of Heidelberg  , Germany , 2012    
   62  ,  University of Heidelberg  , Germany , 2011    
   62  ,  University of Oslo  , Norway , 2018    
   62  ,  University of Oslo  , Norway , 2017    
   62  ,  University of Bristol  , UK , 2007    
   62  ,  University of Bristol  , UK , 2006    
   63  ,  University of Heidelberg  , Germany , 2010    
   63  ,  University of Heidelberg  , Germany , 2009    
   63  ,  University of Leiden  , Netherlands , 2004    
   63  ,  University of Oslo  , Norway , 2003    
   63  ,  Uppsala University  , Sweden , 2018    
   63  ,  Uppsala University  , Sweden , 2017    
   63  ,  King&rsquo;s College London  , UK , 2010    
   63  ,  University of Bristol  , UK , 2014    
   64  ,  University of Heidelberg  , Germany , 2004    
