# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   2  ,  University of Cambridge  , UK , 2006    
   64  ,  Ecole Normale Supérieure de Paris  , France , 2018    
   64  ,  University Paris Sud (Paris XI)  , France , 2006    
   64  ,  Hebrew University of Jerusalem  , Israel , 2009    
   64  ,  Hebrew University of Jerusalem  , Israel , 2007    
   64  ,  University of Oslo  , Norway , 2008    
   64  ,  University of Bristol  , UK , 2013    
   64  ,  University of Bristol  , UK , 2005    
   65  ,  University of Heidelberg  , Germany , 2007    
   65  ,  Aarhus University  , Denmark , 2018    
   65  ,  Aarhus University  , Denmark , 2017    
   65  ,  Aarhus University  , Denmark , 2016    
   65  ,  University of Copenhagen  , Denmark , 2003    
   65  ,  University Pierre et Marie Curie (Paris VI)  , France , 2003    
   65  ,  Hebrew University of Jerusalem  , Israel , 2008    
   65  ,  University of Leiden  , Netherlands , 2011    
   65  ,  Utrecht University  , Netherlands , 2016    
   65  ,  University of Oslo  , Norway , 2009    
   65  ,  Uppsala University  , Sweden , 2006    
   65  ,  King&rsquo;s College London  , UK , 2009    
   65  ,  University of Sheffield  , UK , 2005    
   66  ,  University of Geneva  , Switzerland , 2014    
   66  ,  University of Heidelberg  , Germany , 2006    
   66  ,  University of Groningen  , Netherlands , 2018    
   66  ,  Moscow State University  , Russia , 2004    
   66  ,  Uppsala University  , Sweden , 2010    
   66  ,  Uppsala University  , Sweden , 2007    
   66  ,  University of Bristol  , UK , 2015    
   66  ,  University of Bristol  , UK , 2010    
   67  ,  University of Heidelberg  , Germany , 2008    
   67  ,  University of Helsinki  , Finland , 2015    
   67  ,  Ecole Normale Supérieure de Paris  , France , 2014    
   67  ,  Hebrew University of Jerusalem  , Israel , 2015    
   67  ,  University of Oslo  , Norway , 2016    
   67  ,  University of Oslo  , Norway , 2012    
   67  ,  Moscow State University  , Russia , 2005    
   67  ,  Uppsala University  , Sweden , 2011    
   67  ,  King&rsquo;s College London  , UK , 2013    
   68  ,  University of Helsinki  , Finland , 2008    
   68  ,  University of Oslo  , Norway , 2006    
   68  ,  University of Oslo  , Norway , 2004    
   68  ,  King&rsquo;s College London  , UK , 2012    
   68  ,  King&rsquo;s College London  , UK , 2011    
   68  ,  University of Sheffield  , UK , 2003    
   69  ,  University of Gent  , Belgium , 2017    
   69  ,  University of Geneva  , Switzerland , 2013    
   69  ,  University of Geneva  , Switzerland , 2012    
   69  ,  Ecole Normale Supérieure de Paris  , France , 2017    
   69  ,  Ecole Normale Supérieure de Paris  , France , 2011    
   69  ,  Technion - Israel Institute of Technology  , Israel , 2016    
   69  ,  University of Oslo  , Norway , 2014    
   69  ,  University of Oslo  , Norway , 2013    
   69  ,  University of Oslo  , Norway , 2007    
   69  ,  University of Oslo  , Norway , 2005    
   69  ,  University of Sheffield  , UK , 2006    
   69  ,  University of Sheffield  , UK , 2004    
   70  ,  University of Gent  , Belgium , 2014    
   70  ,  Ecole Normale Supérieure de Paris  , France , 2009    
   70  ,  Hebrew University of Jerusalem  , Israel , 2014    
   70  ,  University of Rome - La Sapienza  , Italy , 2003    
   70  ,  University of Leiden  , Netherlands , 2010    
   70  ,  Moscow State University  , Russia , 2008    
   70  ,  Moscow State University  , Russia , 2006    
   70  ,  University of Bristol  , UK , 2012    
   70  ,  University of Bristol  , UK , 2011    
   71  ,  University of Gent  , Belgium , 2015    
   71  ,  University of Heidelberg  , Germany , 2005    
   71  ,  Ecole Normale Supérieure de Paris  , France , 2013    
   71  ,  Ecole Normale Supérieure de Paris  , France , 2010    
   71  ,  University of Leiden  , Netherlands , 2007    
   71  ,  Uppsala University  , Sweden , 2008    
   72  ,  University of Helsinki  , Finland , 2010    
   72  ,  University of Helsinki  , Finland , 2009    
   72  ,  University of Helsinki  , Finland , 2004    
   72  ,  Ecole Normale Supérieure de Paris  , France , 2015    
   72  ,  University Paris Sud (Paris XI)  , France , 2003    
   72  ,  Hebrew University of Jerusalem  , Israel , 2010    
   72  ,  University of Groningen  , Netherlands , 2016    
   72  ,  University of Leiden  , Netherlands , 2009    
   72  ,  University of Leiden  , Netherlands , 2006    
   72  ,  University of Leiden  , Netherlands , 2005    
   72  ,  University of Sheffield  , UK , 2007    
   73  ,  University of Geneva  , Switzerland , 2011    
   73  ,  Aarhus University  , Denmark , 2015    
   73  ,  University of Helsinki  , Finland , 2014    
   73  ,  University of Helsinki  , Finland , 2012    
   73  ,  University of Helsinki  , Finland , 2007    
   73  ,  Ecole Normale Supérieure de Paris  , France , 2012    
   73  ,  Ecole Normale Supérieure de Paris  , France , 2008    
   73  ,  Erasmus University Rotterdam  , Netherlands , 2017    
   73  ,  University of Leiden  , Netherlands , 2012    
   73  ,  Uppsala University  , Sweden , 2013    
   73  ,  Uppsala University  , Sweden , 2012    
   74  ,  Aarhus University  , Denmark , 2014    
   74  ,  University of Helsinki  , Finland , 2011    
   74  ,  University of Helsinki  , Finland , 2006    
   74  ,  University of Helsinki  , Finland , 2003    
