# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   75  ,  Erasmus University Rotterdam  , Netherlands , 2017    
   75  ,  VU University Amsterdam  , Netherlands , 2012    
   76  ,  University of Bristol  , UK , 2013    
   77  ,  University of Basel  , Switzerland , 2012    
   77  ,  Technical University of München  , Germany , 2013    
   77  ,  Ecole Normale Supérieure de Paris  , France , 2016    
   77  ,  Utrecht University  , Netherlands , 2014    
   77  ,  University of Warwick  , UK , 2015    
   78  ,  Wageningen University & Research Center  , Netherlands , 2013    
   78  ,  University of Dundee  , UK , 2012    
   78  ,  University of East Anglia  , UK , 2015    
   78  ,  University of York  , UK , 2014    
   79  ,  University Pompeu Fabra  , Spain , 2018    
   79  ,  VU University Amsterdam  , Netherlands , 2016    
   79  ,  University of Aberdeen  , UK , 2014    
   79  ,  University of Dundee  , UK , 2013    
   80  ,  University of Lausanne  , Switzerland , 2016    
   80  ,  Trinity College Dublin  , Ireland , 2014    
   80  ,  University of East Anglia  , UK , 2012    
   81  ,  Catholic University of Leuven  , Belgium , 2017    
   81  ,  University of Geneva  , Switzerland , 2012    
   81  ,  University of Amsterdam  , Netherlands , 2014    
   82  ,  University of Lausanne  , Switzerland , 2012    
   82  ,  Technical University of Denmark  , Denmark , 2015    
   82  ,  Erasmus University Rotterdam  , Netherlands , 2016    
   82  ,  Wageningen University & Research Center  , Netherlands , 2018    
   82  ,  University of Glasgow  , UK , 2017    
   83  ,  Catholic University of Leuven  , Belgium , 2016    
   83  ,  University of Lausanne  , Switzerland , 2017    
   83  ,  Delft University of Technology  , Netherlands , 2018    
   83  ,  VU University Amsterdam  , Netherlands , 2013    
   83  ,  University of Warwick  , UK , 2014    
   83  ,  University of Zurich  , Switzerland , 2015    
   84  ,  University of Lausanne  , Switzerland , 2018    
   84  ,  Eindhoven University of Technology  , Netherlands , 2012    
   84  ,  Wageningen University & Research Center  , Netherlands , 2017    
   84  ,  University of Edinburgh  , UK , 2013    
   85  ,  University of Basel  , Switzerland , 2013    
   85  ,  University of München  , Germany , 2012    
