# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   140  ,  University of Sussex  , UK , 2016    
   141  ,  Ecole Normale Supérieure de Lyon  , France , 2012    
   141  ,  Eindhoven University of Technology  , Netherlands , 2018    
   141  ,  University of Birmingham  , UK , 2018    
   141  ,  University of Exeter  , UK , 2019    
   141  ,  University of Warwick  , UK , 2014    
   142  ,  University of Vienna  , Austria , 2016    
   142  ,  University of Basel  , Switzerland , 2013    
   142  ,  University of Barcelona  , Spain , 2011    
   142  ,  University of Leeds  , UK , 2013    
   143  ,  University of Vienna  , Austria , 2019    
   143  ,  University of Gent  , Belgium , 2019    
   143  ,  Utrecht University  , Netherlands , 2011    
   143  ,  University of Nottingham  , UK , 2016    
   143  ,  University of St. Andrews  , UK , 2018    
   144  ,  University of Lausanne  , Switzerland , 2016    
   144  ,  University of Freiburg  , Germany , 2013    
   144  ,  Eindhoven University of Technology  , Netherlands , 2015    
   144  ,  VU University Amsterdam  , Netherlands , 2014    
   144  ,  Wageningen University & Research Center  , Netherlands , 2011    
   144  ,  Stockholm University  , Sweden , 2017    
   144  ,  Karlsruhe Institute of Technology  , Germany , 2017    
   145  ,  University of Cologne  , Germany , 2018    
   145  ,  Autonomous University of Barcelona  , Spain , 2019    
   145  ,  Queen Mary - University of London  , UK , 2013    
   145  ,  University of Birmingham  , UK , 2011    
   145  ,  University of East Anglia  , UK , 2012    
   145  ,  University of Lancaster  , UK , 2013    
   146  ,  University of Cologne  , Germany , 2019    
   146  ,  Autonomous University of Barcelona  , Spain , 2016    
   146  ,  University of Oslo  , Norway , 2018    
   146  ,  University of Lancaster  , UK , 2019    
   146  ,  University of Leeds  , UK , 2015    
   146  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2012    
   146  ,  University of Southampton  , UK , 2014    
   147  ,  Autonomous University of Barcelona  , Spain , 2018    
   147  ,  Uppsala University  , Sweden , 2011    
   147  ,  University of Nottingham  , UK , 2018    
   147  ,  University of Nottingham  , UK , 2017    
   147  ,  University of Sussex  , UK , 2018    
   148  ,  University of Birmingham  , UK , 2015    
   148  ,  University of Birmingham  , UK , 2012    
   148  ,  University of Exeter  , UK , 2014    
   149  ,  University of Ulm  , Germany , 2019    
   149  ,  Aarhus University  , Denmark , 2016    
   149  ,  Technical University of Denmark  , Denmark , 2013    
   149  ,  University of Twente  , Netherlands , 2016    
   149  ,  Birkbeck - University of London  , UK , 2012    
   149  ,  University of Aberdeen  , UK , 2011    
   149  ,  University of East Anglia  , UK , 2016    
   149  ,  University of Nottingham  , UK , 2019    
   149  ,  University of Sussex  , UK , 2017    
   150  ,  University of Copenhagen  , Denmark , 2014    
   150  ,  University of Lancaster  , UK , 2018    
   151  ,  University of Bern  , Switzerland , 2013    
   151  ,  University of Lausanne  , Switzerland , 2017    
   151  ,  Free University of Berlin  , Germany , 2012    
   151  ,  Technical University of Dresden  , Germany , 2019    
   151  ,  Delft University of Technology  , Netherlands , 2011    
   151  ,  University of Aberdeen  , UK , 2012    
   151  ,  Karlsruhe Institute of Technology  , Germany , 2013    
   152  ,  University of Lausanne  , Switzerland , 2018    
   152  ,  University of Freiburg  , Germany , 2014    
   152  ,  Birkbeck - University of London  , UK , 2011    
   152  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2011    
   153  ,  Aarhus University  , Denmark , 2015    
   153  ,  Technical University of Denmark  , Denmark , 2018    
   153  ,  Sant’Anna School of Advanced Studies  , Italy , 2019    
   153  ,  University of Twente  , Netherlands , 2017    
   153  ,  Stockholm University  , Sweden , 2019    
   153  ,  University of Birmingham  , UK , 2014    
   153  ,  University of Exeter  , UK , 2013    
   153  ,  University of Leeds  , UK , 2019    
   154  ,  VU University Amsterdam  , Netherlands , 2016    
   154  ,  University of Exeter  , UK , 2015    
   154  ,  Karlsruhe Institute of Technology  , Germany , 2014    
   154  ,  RWTH Aachen University  , Germany , 2013    
   155  ,  Technical University of Dresden  , Germany , 2018    
   155  ,  University of Ulm  , Germany , 2018    
   155  ,  University Pompeu Fabra  , Spain , 2011    
   155  ,  University Joseph Fourier - Grenoble I  , France , 2014    
   155  ,  Sant’Anna School of Advanced Studies  , Italy , 2018    
   155  ,  KTH - Royal Institute of Technology  , Sweden , 2016    
   156  ,  University of Cologne  , Germany , 2016    
   156  ,  Ecole Normale Supérieure de Lyon  , France , 2014    
   156  ,  VU University Amsterdam  , Netherlands , 2017    
   156  ,  University of Exeter  , UK , 2012    
   156  ,  RWTH Aachen University  , Germany , 2015    
   157  ,  University of Bern  , Switzerland , 2014    
   157  ,  Erasmus University Rotterdam  , Netherlands , 2012    
   157  ,  University of Liverpool  , UK , 2016    
   157  ,  University of Liverpool  , UK , 2015    
   157  ,  University of Nottingham  , UK , 2014    
   157  ,  University of Warwick  , UK , 2012    
   158  ,  Technical University of Dresden  , Germany , 2016    
   158  ,  Tel Aviv University  , Israel , 2013    
   158  ,  University of Aberdeen  , UK , 2019    
   158  ,  University of Birmingham  , UK , 2013    
   158  ,  University of Liverpool  , UK , 2017    
   159  ,  University of Würzburg  , Germany , 2019    
   159  ,  University College Dublin  , Ireland , 2012    
   159  ,  Erasmus University Rotterdam  , Netherlands , 2011    
   159  ,  VU University Amsterdam  , Netherlands , 2012    
   159  ,  Radboud University of Nijmegen  , Netherlands , 2012    
   159  ,  KTH - Royal Institute of Technology  , Sweden , 2017    
   159  ,  University of Leicester  , UK , 2018    
   160  ,  University of Erlangen-Nürnberg  , Germany , 2017    
   160  ,  University of Copenhagen  , Denmark , 2015    
   160  ,  Ecole Normale Supérieure de Lyon  , France , 2015    
   160  ,  Trinity College Dublin  , Ireland , 2016    
   161  ,  University of Vienna  , Austria , 2017    
   161  ,  University of Münster  , Germany , 2017    
   161  ,  University College Dublin  , Ireland , 2014    
   161  ,  Scuola Normale Superiore di Pisa  , Italy , 2019    
   161  ,  Moscow State University  , Russia , 2016    
   161  ,  University of Leicester  , UK , 2014    
   161  ,  University of Sussex  , UK , 2019    
   162  ,  University of Vienna  , Austria , 2013    
   162  ,  University of Erlangen-Nürnberg  , Germany , 2018    
   162  ,  Cardiff University  , UK , 2018    
   163  ,  University of Freiburg  , Germany , 2015    
   163  ,  Technical University of Denmark  , Denmark , 2019    
   163  ,  Autonomous University of Barcelona  , Spain , 2017    
   164  ,  University of Antwerp  , Belgium , 2014    
   164  ,  Catholic University of Louvain  , Belgium , 2013    
   164  ,  Technical University of Dresden  , Germany , 2017    
   164  ,  University Pompeu Fabra  , Spain , 2016    
   164  ,  University Pompeu Fabra  , Spain , 2014    
   164  ,  University of Reading  , UK , 2016    
   164  ,  University of Reading  , UK , 2012    
   165  ,  University of Vienna  , Austria , 2018    
   165  ,  University of Würzburg  , Germany , 2018    
   165  ,  University Pompeu Fabra  , Spain , 2015    
   165  ,  VU University Amsterdam  , Netherlands , 2018    
   165  ,  University of Amsterdam  , Netherlands , 2011    
   165  ,  Istanbul Technical University  , Turkey , 2015    
   165  ,  University of East Anglia  , UK , 2017    
   165  ,  University of Liverpool  , UK , 2011    
   165  ,  University of St. Andrews  , UK , 2019    
   165  ,  Karlsruhe Institute of Technology  , Germany , 2015    
   166  ,  University Denis Diderot (Paris VII)  , France , 2013    
   166  ,  Tel Aviv University  , Israel , 2012    
   166  ,  VU University Amsterdam  , Netherlands , 2019    
   167  ,  Catholic University of Louvain  , Belgium , 2016    
   167  ,  Aarhus University  , Denmark , 2011    
   167  ,  Technical University of Denmark  , Denmark , 2016    
   167  ,  Eindhoven University of Technology  , Netherlands , 2019    
   167  ,  University of Leicester  , UK , 2019    
   167  ,  University of Leicester  , UK , 2016    
   168  ,  University of Würzburg  , Germany , 2011    
   168  ,  University of Leeds  , UK , 2011    
   168  ,  RWTH Aachen University  , Germany , 2012    
   169  ,  Catholic University of Louvain  , Belgium , 2012    
   169  ,  University Denis Diderot (Paris VII)  , France , 2012    
   169  ,  University of Liverpool  , UK , 2014    
   170  ,  University of Vienna  , Austria , 2014    
   170  ,  University of Antwerp  , Belgium , 2015    
   170  ,  University of Cologne  , Germany , 2017    
   170  ,  Ecole Normale Supérieure de Lyon  , France , 2013    
   170  ,  University of Groningen  , Netherlands , 2011    
   170  ,  University of Twente  , Netherlands , 2014    
   170  ,  Göteborg University  , Sweden , 2017    
   171  ,  Catholic University of Louvain  , Belgium , 2015    
   171  ,  University of Bonn  , Germany , 2013    
   171  ,  University of Liverpool  , UK , 2013    
   171  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2019    
   171  ,  University of Nottingham  , UK , 2015    
   172  ,  Catholic University of Louvain  , Belgium , 2014    
   172  ,  University of Frankfurt am Main  , Germany , 2011    
   172  ,  University of Aberdeen  , UK , 2016    
   172  ,  University of Leicester  , UK , 2017    
   173  ,  University of Bielefeld  , Germany , 2011    
   173  ,  University of Münster  , Germany , 2018    
   173  ,  KTH - Royal Institute of Technology  , Sweden , 2018    
   173  ,  Royal Holloway - University of London  , UK , 2017    
   174  ,  University of Barcelona  , Spain , 2016    
   174  ,  University of East Anglia  , UK , 2014    
   174  ,  University of East Anglia  , UK , 2011    
   174  ,  University of Nottingham  , UK , 2011    
   175  ,  Université Libre de Bruxelles  , Belgium , 2018    
   175  ,  University of Erlangen-Nürnberg  , Germany , 2019    
   175  ,  University of Konstanz  , Germany , 2016    
   175  ,  University Pompeu Fabra  , Spain , 2017    
   175  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2018    
   176  ,  Université Libre de Bruxelles  , Belgium , 2014    
   176  ,  University of Lausanne  , Switzerland , 2019    
   176  ,  Technical University of Denmark  , Denmark , 2017    
   176  ,  University College Dublin  , Ireland , 2016    
   176  ,  Eindhoven University of Technology  , Netherlands , 2016    
   176  ,  University of Aberdeen  , UK , 2013    
   176  ,  University of Dundee  , UK , 2012    
   176  ,  University of East Anglia  , UK , 2013    
   176  ,  University of Reading  , UK , 2013    
   177  ,  University of Copenhagen  , Denmark , 2011    
   177  ,  Eindhoven University of Technology  , Netherlands , 2017    
   177  ,  University of Liverpool  , UK , 2018    
   178  ,  Humboldt University of Berlin  , Germany , 2011    
   178  ,  University of Bonn  , Germany , 2011    
   178  ,  Technical University of Denmark  , Denmark , 2012    
   178  ,  University Denis Diderot (Paris VII)  , France , 2014    
   178  ,  University Joseph Fourier - Grenoble I  , France , 2015    
   178  ,  Hebrew University of Jerusalem  , Israel , 2016    
   178  ,  University of Luxembourg  , Luxembourg , 2017    
   178  ,  University of Aberdeen  , UK , 2015    
   179  ,  University Paris Sud (Paris XI)  , France , 2017    
   179  ,  University of Luxembourg  , Luxembourg , 2018    
   179  ,  University of Twente  , Netherlands , 2018    
   180  ,  University of Hamburg  , Germany , 2017    
   180  ,  University Denis Diderot (Paris VII)  , France , 2015    
   180  ,  University Joseph Fourier - Grenoble I  , France , 2013    
   180  ,  Sant’Anna School of Advanced Studies  , Italy , 2016    
   180  ,  University of Bologna  , Italy , 2019    
   180  ,  Göteborg University  , Sweden , 2016    
   180  ,  University of Dundee  , UK , 2017    
   180  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2013    
   181  ,  University of Frankfurt am Main  , Germany , 2012    
   181  ,  University of Bonn  , Germany , 2014    
   181  ,  University Paris Sud (Paris XI)  , France , 2018    
   181  ,  University of Oslo  , Norway , 2012    
   181  ,  University of Liverpool  , UK , 2019    
   181  ,  University of Liverpool  , UK , 2012    
   181  ,  Aalto University  , Finland , 2019    
   182  ,  University of Vienna  , Austria , 2015    
   182  ,  Ecole Normale Supérieure de Lyon  , France , 2018    
   182  ,  University of Bergen  , Norway , 2016    
   182  ,  Cardiff University  , UK , 2017    
   182  ,  Cardiff University  , UK , 2016    
   182  ,  RWTH Aachen University  , Germany , 2011    
   183  ,  Middle East Technical University  , Turkey , 2011    
   184  ,  University of Münster  , Germany , 2019    
   184  ,  Scuola Normale Superiore di Pisa  , Italy , 2018    
   184  ,  University of Twente  , Netherlands , 2019    
   184  ,  University of Exeter  , UK , 2011    
   185  ,  University of Würzburg  , Germany , 2016    
   185  ,  University of Twente  , Netherlands , 2011    
   185  ,  University of Oslo  , Norway , 2014    
   185  ,  University of Aberdeen  , UK , 2018    
   185  ,  University of Dundee  , UK , 2016    
   186  ,  University of Würzburg  , Germany , 2017    
   186  ,  University of Konstanz  , Germany , 2011    
   186  ,  University Pompeu Fabra  , Spain , 2012    
   186  ,  Hebrew University of Jerusalem  , Israel , 2017    
   186  ,  University of Oslo  , Norway , 2015    
   187  ,  University of Innsbruck  , Austria , 2011    
   187  ,  University of Tübingen  , Germany , 2012    
   187  ,  University College Dublin  , Ireland , 2013    
   187  ,  University of Twente  , Netherlands , 2013    
   187  ,  KTH - Royal Institute of Technology  , Sweden , 2019    
   187  ,  KTH - Royal Institute of Technology  , Sweden , 2012    
   187  ,  Cardiff University  , UK , 2019    
   187  ,  University of Dundee  , UK , 2018    
   187  ,  Karlsruhe Institute of Technology  , Germany , 2011    
   188  ,  University Paris Sud (Paris XI)  , France , 2016    
   188  ,  Tel Aviv University  , Israel , 2015    
   188  ,  Moscow State University  , Russia , 2017    
   188  ,  University of Aberdeen  , UK , 2017    
   188  ,  University of Aberdeen  , UK , 2014    
   188  ,  University of East Anglia  , UK , 2018    
   189  ,  University of Freiburg  , Germany , 2012    
   189  ,  University of Tübingen  , Germany , 2011    
   189  ,  University of Konstanz  , Germany , 2019    
   190  ,  University of Antwerp  , Belgium , 2016    
   190  ,  University of Duisburg-Essen  , Germany , 2019    
   190  ,  Sant’Anna School of Advanced Studies  , Italy , 2017    
   190  ,  University of East Anglia  , UK , 2019    
   190  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2017    
   190  ,  Aalto University  , Finland , 2018    
   191  ,  Hebrew University of Jerusalem  , Israel , 2014    
   191  ,  University of Bergen  , Norway , 2012    
   192  ,  University of Antwerp  , Belgium , 2013    
   192  ,  University of Ulm  , Germany , 2016    
   192  ,  University of Reading  , UK , 2017    
   193  ,  Mines ParisTech  , France , 2014    
   193  ,  Technion - Israel Institute of Technology  , Israel , 2013    
   193  ,  University of Luxembourg  , Luxembourg , 2016    
   193  ,  KTH - Royal Institute of Technology  , Sweden , 2011    
   194  ,  University of Konstanz  , Germany , 2017    
   194  ,  University of Konstanz  , Germany , 2012    
   194  ,  Aalborg University  , Denmark , 2019    
   194  ,  University Denis Diderot (Paris VII)  , France , 2019    
   194  ,  Moscow State University  , Russia , 2018    
   194  ,  University of Reading  , UK , 2014    
   195  ,  University of Vienna  , Austria , 2011    
   195  ,  University of Bonn  , Germany , 2015    
   195  ,  Tilburg University  , Netherlands , 2018    
   195  ,  Charité - University Medicine Berlin  , Germany , 2016    
   196  ,  University Paris-Sorbonne (Paris IV)  , France , 2018    
   196  ,  Moscow State University  , Russia , 2015    
   196  ,  St George’s - University of London  , UK , 2016    
   196  ,  St George’s - University of London  , UK , 2015    
   196  ,  University of Dundee  , UK , 2014    
   196  ,  University of Leicester  , UK , 2013    
   196  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2016    
   196  ,  Karlsruhe Institute of Technology  , Germany , 2012    
   197  ,  University of Duisburg-Essen  , Germany , 2017    
   197  ,  University of Maastricht  , Netherlands , 2012    
   197  ,  University of Bergen  , Norway , 2019    
   197  ,  University of Leicester  , UK , 2012    
   197  ,  Royal Holloway - University of London  , UK , 2018    
   198  ,  University of Trento  , Italy , 2016    
   198  ,  Tilburg University  , Netherlands , 2017    
   198  ,  Göteborg University  , Sweden , 2018    
   198  ,  University of East Anglia  , UK , 2015    
   198  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2014    
   199  ,  University of Frankfurt am Main  , Germany , 2013    
   199  ,  University Denis Diderot (Paris VII)  , France , 2016    
   199  ,  Tel Aviv University  , Israel , 2014    
   199  ,  Moscow State University  , Russia , 2019    
   199  ,  Swedish University of Agricultural Sciences  , Sweden , 2011    
   199  ,  Bogazici University  , Turkey , 2014    
   199  ,  University of Leicester  , UK , 2015    
   200  ,  University of Twente  , Netherlands , 2012    
   200  ,  Birkbeck - University of London  , UK , 2013    
   200  ,  Queen&rsquo;s University Belfast  , UK , 2016    
   201-225  ,  University of Innsbruck  , Austria , 2015    
   201-225  ,  University of Innsbruck  , Austria , 2014    
   201-225  ,  University of Innsbruck  , Austria , 2013    
   201-225  ,  University of Innsbruck  , Austria , 2012    
   201-225  ,  Université Libre de Bruxelles  , Belgium , 2015    
   201-225  ,  Université Libre de Bruxelles  , Belgium , 2012    
   201-225  ,  University of Würzburg  , Germany , 2012    
   201-225  ,  University of Tübingen  , Germany , 2014    
   201-225  ,  University of Tübingen  , Germany , 2013    
   201-225  ,  University of Erlangen-Nürnberg  , Germany , 2013    
   201-225  ,  University of Frankfurt am Main  , Germany , 2015    
   201-225  ,  University of Frankfurt am Main  , Germany , 2014    
   201-225  ,  University of Mainz  , Germany , 2013    
   201-225  ,  University of Konstanz  , Germany , 2013    
   201-225  ,  University of Ulm  , Germany , 2015    
   201-225  ,  University of Ulm  , Germany , 2014    
   201-225  ,  University of Ulm  , Germany , 2012    
   201-225  ,  Autonomous University of Barcelona  , Spain , 2013    
   201-225  ,  Autonomous University of Barcelona  , Spain , 2012    
   201-225  ,  University Pompeu Fabra  , Spain , 2013    
   201-225  ,  University of Barcelona  , Spain , 2015    
   201-225  ,  University of Barcelona  , Spain , 2013    
   201-225  ,  University of Barcelona  , Spain , 2012    
   201-225  ,  Hebrew University of Jerusalem  , Israel , 2015    
   201-225  ,  Technion - Israel Institute of Technology  , Israel , 2015    
   201-225  ,  Technion - Israel Institute of Technology  , Israel , 2014    
   201-225  ,  Technion - Israel Institute of Technology  , Israel , 2012    
   201-225  ,  University of Trento  , Italy , 2014    
   201-225  ,  University of Trieste  , Italy , 2015    
   201-225  ,  Tilburg University  , Netherlands , 2013    
   201-225  ,  University of Twente  , Netherlands , 2015    
   201-225  ,  University of Bergen  , Norway , 2015    
   201-225  ,  University of Bergen  , Norway , 2014    
   201-225  ,  University of Oslo  , Norway , 2013    
   201-225  ,  Moscow State University  , Russia , 2013    
   201-225  ,  Göteborg University  , Sweden , 2014    
   201-225  ,  Göteborg University  , Sweden , 2013    
   201-225  ,  Göteborg University  , Sweden , 2012    
   201-225  ,  Umea University  , Sweden , 2012    
   201-225  ,  Bilkent University  , Turkey , 2015    
   201-225  ,  Bilkent University  , Turkey , 2012    
   201-225  ,  Istanbul Technical University  , Turkey , 2014    
   201-225  ,  Middle East Technical University  , Turkey , 2014    
   201-225  ,  Middle East Technical University  , Turkey , 2013    
   201-225  ,  Birkbeck - University of London  , UK , 2014    
   201-225  ,  Cardiff University  , UK , 2015    
   201-225  ,  Cardiff University  , UK , 2014    
   201-225  ,  Cardiff University  , UK , 2013    
   201-225  ,  Cardiff University  , UK , 2012    
   201-225  ,  St George’s - University of London  , UK , 2014    
   201-225  ,  St George’s - University of London  , UK , 2013    
   201-225  ,  University of Dundee  , UK , 2015    
   201-225  ,  University of Dundee  , UK , 2013    
   201-225  ,  University of Essex  , UK , 2012    
   201-225  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2015    
   201-225  ,  University of Reading  , UK , 2015    
   201-225  ,  University of Strasbourg  , France , 2015    
   201-225  ,  University of Strasbourg  , France , 2014    
   201-225  ,  University of Strasbourg  , France , 2013    
   201-225  ,  University of Strasbourg  , France , 2012    
   201-250  ,  Medical University of Graz  , Austria , 2019    
   201-250  ,  Medical University of Vienna  , Austria , 2019    
   201-250  ,  Medical University of Vienna  , Austria , 2016    
   201-250  ,  University of Antwerp  , Belgium , 2019    
   201-250  ,  University of Antwerp  , Belgium , 2018    
   201-250  ,  University of Antwerp  , Belgium , 2017    
   201-250  ,  Université Libre de Bruxelles  , Belgium , 2019    
   201-250  ,  Université Libre de Bruxelles  , Belgium , 2017    
   201-250  ,  University of Fribourg  , Switzerland , 2019    
   201-250  ,  University of Fribourg  , Switzerland , 2018    
   201-250  ,  University of Fribourg  , Switzerland , 2016    
   201-250  ,  University of Kiel  , Germany , 2019    
   201-250  ,  University of Kiel  , Germany , 2018    
   201-250  ,  University of Kiel  , Germany , 2017    
   201-250  ,  University of Kiel  , Germany , 2016    
   201-250  ,  University of Duisburg-Essen  , Germany , 2018    
   201-250  ,  University of Duisburg-Essen  , Germany , 2016    
   201-250  ,  University of Frankfurt am Main  , Germany , 2017    
   201-250  ,  University of Frankfurt am Main  , Germany , 2016    
   201-250  ,  University of Mainz  , Germany , 2016    
   201-250  ,  University of Bochum  , Germany , 2018    
   201-250  ,  Technical University of Darmstadt  , Germany , 2018    
   201-250  ,  Technical University of Darmstadt  , Germany , 2017    
   201-250  ,  Technical University of Darmstadt  , Germany , 2016    
   201-250  ,  University of Bielefeld  , Germany , 2019    
   201-250  ,  University of Hamburg  , Germany , 2018    
   201-250  ,  University of Hohenheim  , Germany , 2019    
   201-250  ,  University of Konstanz  , Germany , 2018    
   201-250  ,  University of Passau  , Germany , 2019    
   201-250  ,  University of Passau  , Germany , 2018    
   201-250  ,  University of Potsdam  , Germany , 2019    
   201-250  ,  University of Potsdam  , Germany , 2018    
   201-250  ,  University of Stuttgart  , Germany , 2018    
   201-250  ,  University of Stuttgart  , Germany , 2017    
   201-250  ,  University of Stuttgart  , Germany , 2016    
   201-250  ,  Aalborg University  , Denmark , 2018    
   201-250  ,  Aalborg University  , Denmark , 2017    
   201-250  ,  Aalborg University  , Denmark , 2016    
   201-250  ,  Copenhagen Business School  , Denmark , 2019    
   201-250  ,  Copenhagen Business School  , Denmark , 2018    
   201-250  ,  Copenhagen Business School  , Denmark , 2016    
   201-250  ,  University of Barcelona  , Spain , 2019    
   201-250  ,  University of Barcelona  , Spain , 2018    
   201-250  ,  University of Barcelona  , Spain , 2017    
   201-250  ,  University of Oulu  , Finland , 2017    
   201-250  ,  University of Tampere  , Finland , 2019    
   201-250  ,  University of Tampere  , Finland , 2018    
   201-250  ,  Ecole Normale Supérieure de Lyon  , France , 2019    
   201-250  ,  Ecole Normale Supérieure de Lyon  , France , 2017    
   201-250  ,  Ecole Normale Supérieure de Lyon  , France , 2016    
   201-250  ,  University Denis Diderot (Paris VII)  , France , 2018    
   201-250  ,  University Denis Diderot (Paris VII)  , France , 2017    
   201-250  ,  University Joseph Fourier - Grenoble I  , France , 2016    
   201-250  ,  University Paris Sud (Paris XI)  , France , 2019    
   201-250  ,  University René Descartes (Paris V)  , France , 2017    
   201-250  ,  University René Descartes (Paris V)  , France , 2016    
   201-250  ,  National University of Ireland - Galway  , Ireland , 2018    
   201-250  ,  National University of Ireland - Galway  , Ireland , 2017    
   201-250  ,  Royal College of Surgeons  , Ireland , 2019    
   201-250  ,  Royal College of Surgeons  , Ireland , 2018    
   201-250  ,  Royal College of Surgeons  , Ireland , 2017    
   201-250  ,  University College Dublin  , Ireland , 2019    
   201-250  ,  University College Dublin  , Ireland , 2018    
   201-250  ,  University College Dublin  , Ireland , 2017    
   201-250  ,  Hebrew University of Jerusalem  , Israel , 2019    
   201-250  ,  Hebrew University of Jerusalem  , Israel , 2018    
   201-250  ,  Tel Aviv University  , Israel , 2019    
   201-250  ,  Tel Aviv University  , Israel , 2018    
   201-250  ,  Tel Aviv University  , Israel , 2017    
   201-250  ,  Tel Aviv University  , Israel , 2016    
   201-250  ,  University of Iceland  , Iceland , 2018    
   201-250  ,  University of Iceland  , Iceland , 2017    
   201-250  ,  Polytechnic University of Milan  , Italy , 2017    
   201-250  ,  Polytechnic University of Milan  , Italy , 2016    
   201-250  ,  University of Bologna  , Italy , 2018    
   201-250  ,  University of Bologna  , Italy , 2017    
   201-250  ,  University of Bologna  , Italy , 2016    
   201-250  ,  University of Padua  , Italy , 2019    
   201-250  ,  University of Rome - La Sapienza  , Italy , 2016    
   201-250  ,  University of Trento  , Italy , 2017    
   201-250  ,  University of Luxembourg  , Luxembourg , 2019    
   201-250  ,  Tilburg University  , Netherlands , 2019    
   201-250  ,  Tilburg University  , Netherlands , 2016    
   201-250  ,  University of Bergen  , Norway , 2018    
   201-250  ,  University of Bergen  , Norway , 2017    
   201-250  ,  Chalmers University of Technology  , Sweden , 2019    
   201-250  ,  Chalmers University of Technology  , Sweden , 2018    
   201-250  ,  Chalmers University of Technology  , Sweden , 2016    
   201-250  ,  Göteborg University  , Sweden , 2019    
   201-250  ,  Swedish University of Agricultural Sciences  , Sweden , 2016    
   201-250  ,  Birkbeck - University of London  , UK , 2017    
   201-250  ,  Birkbeck - University of London  , UK , 2016    
   201-250  ,  St George’s - University of London  , UK , 2018    
   201-250  ,  St George’s - University of London  , UK , 2017    
   201-250  ,  Queen&rsquo;s University Belfast  , UK , 2019    
   201-250  ,  Queen&rsquo;s University Belfast  , UK , 2018    
