# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   1  ,  University of Oxford  , UK , 2019    
   62  ,  Humboldt University of Berlin  , Germany , 2018    
   62  ,  Ecole Polytechnique  , France , 2013    
   62  ,  University of Amsterdam  , Netherlands , 2019    
   62  ,  Utrecht University  , Netherlands , 2016    
   63  ,  University of Göttingen  , Germany , 2014    
   63  ,  Ecole Polytechnique  , France , 2012    
   63  ,  Scuola Normale Superiore di Pisa  , Italy , 2015    
   63  ,  Delft University of Technology  , Netherlands , 2018    
   63  ,  University of Amsterdam  , Netherlands , 2017    
   64  ,  University of Leiden  , Netherlands , 2015    
   64  ,  University of Leiden  , Netherlands , 2013    
   64  ,  Wageningen University & Research Center  , Netherlands , 2018    
   65  ,  Ecole Normale Supérieure de Paris  , France , 2014    
   65  ,  Delft University of Technology  , Netherlands , 2016    
   65  ,  Wageningen University & Research Center  , Netherlands , 2017    
   66  ,  Ecole Normale Supérieure de Paris  , France , 2017    
   66  ,  University of Bristol  , UK , 2012    
   67  ,  Catholic University of Leuven  , Belgium , 2012    
   67  ,  University of Göttingen  , Germany , 2015    
   67  ,  Humboldt University of Berlin  , Germany , 2019    
   67  ,  University of Leiden  , Netherlands , 2018    
   67  ,  University of Leiden  , Netherlands , 2016    
   67  ,  University of Leiden  , Netherlands , 2014    
   67  ,  Utrecht University  , Netherlands , 2013    
   68  ,  University of Heidelberg  , Germany , 2014    
   68  ,  University of Leiden  , Netherlands , 2019    
   68  ,  Utrecht University  , Netherlands , 2018    
   68  ,  Utrecht University  , Netherlands , 2012    
   68  ,  University of Bristol  , UK , 2011    
   69  ,  University of Göttingen  , Germany , 2012    
   69  ,  Delft University of Technology  , Netherlands , 2014    
   69  ,  Erasmus University Rotterdam  , Netherlands , 2017    
   69  ,  University of Bristol  , UK , 2016    
   70  ,  University of Göttingen  , Germany , 2013    
   70  ,  University of Heidelberg  , Germany , 2015    
   70  ,  Ecole Polytechnique  , France , 2014    
   70  ,  Erasmus University Rotterdam  , Netherlands , 2019    
   70  ,  Wageningen University & Research Center  , Netherlands , 2013    
   70  ,  University of Durham  , UK , 2016    
   71  ,  Delft University of Technology  , Netherlands , 2015    
   71  ,  Erasmus University Rotterdam  , Netherlands , 2016    
   71  ,  University of Bristol  , UK , 2017    
   72  ,  Free University of Berlin  , Germany , 2016    
   72  ,  Erasmus University Rotterdam  , Netherlands , 2018    
